	loc_name	address	num_review	latitude	longitude
290	산청 동의보감촌	경상남도 산청군 금서면 동의보감로555번길 45-6	0	35.4409635	127.8293066
291	포천 허브아일랜드	경기도 포천시 신북면 청신로947번길 35	91652	37.96534339999999	127.1316512
292	오도산치유의숲	경상남도 합천군 봉산면 오도산휴양로 208	0	35.6529902	128.0546378
293	국립김천치유의숲	경상북도 김천시 증산면 수도길 1237-89	0	35.8518512	128.0024446
294	테라피 스파 소베	광주광역시 서구 상무중앙로 42	0	35.1516104	126.8484382
295	인문힐링센터여명	경상북도 영덕군 창수면 장육사1길 203	0	36.5983572	129.311294
296	닥터 아난티 의원	부산광역시 기장군 기장읍 기장해안로 268-32	0	35.1976638	129.2280861
297	순천만 국가정원	전라남도 순천시 국가정원1호길 47	46624	34.9289309	127.4988865
298	진안 홍삼스파	전라북도 진안군 진안읍 외사양길 16-10	0	35.7767445	127.4168063
299	편백숲 힐링토피아	경기도 성남시 수정구 달래내로 375	10202	37.4270448	127.0721219
300	서산 해미읍성	충청남도 서산시 해미면 남문2로 143	94078	36.7131204	126.5491704
301	대청호	대전광역시 동구 천개동로 41	70204	36.3732866	127.4707057
302	유달산	전남 목포시 죽교동 산27-3	62088	34.7941602	126.3711562
303	슬도	울산광역시 동구 방어동	21297	35.4862466	129.4240176
